2020-08-17 09:00:40.512 [restartedMain] WARN  s.d.s.w.readers.parameter.ParameterDataTypeReader - Trying to infer dataType org.springframework.ui.ModelMap
2020-08-17 09:05:46.092 [http-nio-8001-exec-9] WARN  com.kiwihouse.shiro.filter.PasswordFilter - admin::Submitted credentials for token [PasswordToken(username=admin, password=E4FB9BB433A81BC96C0D3E1689E5143D, timestamp=null, host=0:0:0:0:0:0:0:1)] did not match the expected credentials.
2020-08-17 09:06:44.504 [restartedMain] WARN  org.apache.tomcat.util.modeler.Registry - The MBean registry cannot be disabled because it has already been initialised
2020-08-17 09:06:45.354 [restartedMain] WARN  s.d.s.w.readers.parameter.ParameterDataTypeReader - Trying to infer dataType org.springframework.ui.ModelMap
2020-08-17 09:11:51.578 [http-nio-8001-exec-5] WARN  com.kiwihouse.shiro.filter.PasswordFilter - admin::Submitted credentials for token [PasswordToken(username=admin, password=4DC00258488BBF2AD3FCB50F8D928DBA, timestamp=null, host=0:0:0:0:0:0:0:1)] did not match the expected credentials.
2020-08-17 09:12:34.119 [http-nio-8001-exec-6] WARN  com.kiwihouse.shiro.filter.PasswordFilter - admin::Submitted credentials for token [PasswordToken(username=admin, password=88BFAD83CF4F242E792EBD6CD68EC79E, timestamp=null, host=0:0:0:0:0:0:0:1)] did not match the expected credentials.
2020-08-17 09:12:39.923 [http-nio-8001-exec-8] WARN  com.kiwihouse.shiro.filter.PasswordFilter - admin::Submitted credentials for token [PasswordToken(username=admin, password=88BFAD83CF4F242E792EBD6CD68EC79E, timestamp=null, host=0:0:0:0:0:0:0:1)] did not match the expected credentials.
2020-08-17 09:12:44.211 [http-nio-8001-exec-5] WARN  com.kiwihouse.shiro.filter.PasswordFilter - admin::Submitted credentials for token [PasswordToken(username=admin, password=88BFAD83CF4F242E792EBD6CD68EC79E, timestamp=null, host=0:0:0:0:0:0:0:1)] did not match the expected credentials.
2020-08-17 09:13:31.746 [http-nio-8001-exec-7] WARN  com.kiwihouse.shiro.filter.PasswordFilter - admin::Submitted credentials for token [PasswordToken(username=admin, password=BB4798DC4B0CB7871A823A6AFBE333D0, timestamp=null, host=0:0:0:0:0:0:0:1)] did not match the expected credentials.
2020-08-17 09:13:36.532 [http-nio-8001-exec-9] WARN  com.kiwihouse.shiro.filter.PasswordFilter - admin::Submitted credentials for token [PasswordToken(username=admin, password=4B43C78EEE38C44D56AF101274CF0D42, timestamp=null, host=0:0:0:0:0:0:0:1)] did not match the expected credentials.
2020-08-17 09:17:18.910 [restartedMain] WARN  org.apache.tomcat.util.modeler.Registry - The MBean registry cannot be disabled because it has already been initialised
